"","ProAlzheimer","AntiAlzheimer"
"1","CYP11B1","PDE1B"
"2","NRG1","PDE1B"
"3","FKBP1A","PDE1B"
"4","APEX2","PDE1B"
"5","CBFA2T3","PDE1B"
"6","PSPHP1","PDE1B"
"7","FOXO4","PDE1B"
"8","ABTB2","PDE1B"
"9","STEAP1","PDE1B"
"10","ENTPD1","PDE1B"
"11","BAI2","PDE1B"
"12","PCDH9","PDE1B"
"13","HIST1H2AD","PDE1B"
"14","TGM2","PDE1B"
"15","CYP11B1","REM1"
"16","NRG1","REM1"
"17","FKBP1A","REM1"
"18","APEX2","REM1"
"19","CBFA2T3","REM1"
"20","PSPHP1","REM1"
"21","FOXO4","REM1"
"22","ABTB2","REM1"
"23","STEAP1","REM1"
"24","ENTPD1","REM1"
"25","BAI2","REM1"
"26","PCDH9","REM1"
"27","HIST1H2AD","REM1"
"28","TGM2","REM1"
"29","CYP11B1","C10orf116"
"30","NRG1","C10orf116"
"31","FKBP1A","C10orf116"
"32","APEX2","C10orf116"
"33","CBFA2T3","C10orf116"
"34","PSPHP1","C10orf116"
"35","FOXO4","C10orf116"
"36","ABTB2","C10orf116"
"37","STEAP1","C10orf116"
"38","ENTPD1","C10orf116"
"39","BAI2","C10orf116"
"40","PCDH9","C10orf116"
"41","HIST1H2AD","C10orf116"
"42","TGM2","C10orf116"
"43","CYP11B1","CDK10"
"44","NRG1","CDK10"
"45","FKBP1A","CDK10"
"46","APEX2","CDK10"
"47","CBFA2T3","CDK10"
"48","PSPHP1","CDK10"
"49","FOXO4","CDK10"
"50","ABTB2","CDK10"
"51","STEAP1","CDK10"
"52","ENTPD1","CDK10"
"53","BAI2","CDK10"
"54","PCDH9","CDK10"
"55","HIST1H2AD","CDK10"
"56","TGM2","CDK10"
"57","CYP11B1","ADAMTS2"
"58","NRG1","ADAMTS2"
"59","FKBP1A","ADAMTS2"
"60","APEX2","ADAMTS2"
"61","CBFA2T3","ADAMTS2"
"62","PSPHP1","ADAMTS2"
"63","FOXO4","ADAMTS2"
"64","ABTB2","ADAMTS2"
"65","STEAP1","ADAMTS2"
"66","ENTPD1","ADAMTS2"
"67","BAI2","ADAMTS2"
"68","PCDH9","ADAMTS2"
"69","HIST1H2AD","ADAMTS2"
"70","TGM2","ADAMTS2"
"71","CYP11B1","NUPR1"
"72","NRG1","NUPR1"
"73","FKBP1A","NUPR1"
"74","APEX2","NUPR1"
"75","CBFA2T3","NUPR1"
"76","PSPHP1","NUPR1"
"77","FOXO4","NUPR1"
"78","ABTB2","NUPR1"
"79","STEAP1","NUPR1"
"80","ENTPD1","NUPR1"
"81","BAI2","NUPR1"
"82","PCDH9","NUPR1"
"83","HIST1H2AD","NUPR1"
"84","TGM2","NUPR1"
"85","CYP11B1","CD2BP2"
"86","NRG1","CD2BP2"
"87","FKBP1A","CD2BP2"
"88","APEX2","CD2BP2"
"89","CBFA2T3","CD2BP2"
"90","PSPHP1","CD2BP2"
"91","FOXO4","CD2BP2"
"92","ABTB2","CD2BP2"
"93","STEAP1","CD2BP2"
"94","ENTPD1","CD2BP2"
"95","BAI2","CD2BP2"
"96","PCDH9","CD2BP2"
"97","HIST1H2AD","CD2BP2"
"98","TGM2","CD2BP2"
"99","CYP11B1","PLEC"
"100","NRG1","PLEC"
"101","FKBP1A","PLEC"
"102","APEX2","PLEC"
"103","CBFA2T3","PLEC"
"104","PSPHP1","PLEC"
"105","FOXO4","PLEC"
"106","ABTB2","PLEC"
"107","STEAP1","PLEC"
"108","ENTPD1","PLEC"
"109","BAI2","PLEC"
"110","PCDH9","PLEC"
"111","HIST1H2AD","PLEC"
"112","TGM2","PLEC"
"113","CYP11B1","HSPA2"
"114","NRG1","HSPA2"
"115","FKBP1A","HSPA2"
"116","APEX2","HSPA2"
"117","CBFA2T3","HSPA2"
"118","PSPHP1","HSPA2"
"119","FOXO4","HSPA2"
"120","ABTB2","HSPA2"
"121","STEAP1","HSPA2"
"122","ENTPD1","HSPA2"
"123","BAI2","HSPA2"
"124","PCDH9","HSPA2"
"125","HIST1H2AD","HSPA2"
"126","TGM2","HSPA2"
"127","CYP11B1","RPL37A"
"128","NRG1","RPL37A"
"129","FKBP1A","RPL37A"
"130","APEX2","RPL37A"
"131","CBFA2T3","RPL37A"
"132","PSPHP1","RPL37A"
"133","FOXO4","RPL37A"
"134","ABTB2","RPL37A"
"135","STEAP1","RPL37A"
"136","ENTPD1","RPL37A"
"137","BAI2","RPL37A"
"138","PCDH9","RPL37A"
"139","HIST1H2AD","RPL37A"
"140","TGM2","RPL37A"
"141","CYP11B1","MAF"
"142","NRG1","MAF"
"143","FKBP1A","MAF"
"144","APEX2","MAF"
"145","CBFA2T3","MAF"
"146","PSPHP1","MAF"
"147","FOXO4","MAF"
"148","ABTB2","MAF"
"149","STEAP1","MAF"
"150","ENTPD1","MAF"
"151","BAI2","MAF"
"152","PCDH9","MAF"
"153","HIST1H2AD","MAF"
"154","TGM2","MAF"
"155","CYP11B1","NR4A2"
"156","NRG1","NR4A2"
"157","FKBP1A","NR4A2"
"158","APEX2","NR4A2"
"159","CBFA2T3","NR4A2"
"160","PSPHP1","NR4A2"
"161","FOXO4","NR4A2"
"162","ABTB2","NR4A2"
"163","STEAP1","NR4A2"
"164","ENTPD1","NR4A2"
"165","BAI2","NR4A2"
"166","PCDH9","NR4A2"
"167","HIST1H2AD","NR4A2"
"168","TGM2","NR4A2"
"169","CYP11B1","IFITM1"
"170","NRG1","IFITM1"
"171","FKBP1A","IFITM1"
"172","APEX2","IFITM1"
"173","CBFA2T3","IFITM1"
"174","PSPHP1","IFITM1"
"175","FOXO4","IFITM1"
"176","ABTB2","IFITM1"
"177","STEAP1","IFITM1"
"178","ENTPD1","IFITM1"
"179","BAI2","IFITM1"
"180","PCDH9","IFITM1"
"181","HIST1H2AD","IFITM1"
"182","TGM2","IFITM1"
"183","CYP11B1","PDE1A"
"184","NRG1","PDE1A"
"185","FKBP1A","PDE1A"
"186","APEX2","PDE1A"
"187","CBFA2T3","PDE1A"
"188","PSPHP1","PDE1A"
"189","FOXO4","PDE1A"
"190","ABTB2","PDE1A"
"191","STEAP1","PDE1A"
"192","ENTPD1","PDE1A"
"193","BAI2","PDE1A"
"194","PCDH9","PDE1A"
"195","HIST1H2AD","PDE1A"
"196","TGM2","PDE1A"
"197","CYP11B1","FADS2"
"198","NRG1","FADS2"
"199","FKBP1A","FADS2"
"200","APEX2","FADS2"
"201","CBFA2T3","FADS2"
"202","PSPHP1","FADS2"
"203","FOXO4","FADS2"
"204","ABTB2","FADS2"
"205","STEAP1","FADS2"
"206","ENTPD1","FADS2"
"207","BAI2","FADS2"
"208","PCDH9","FADS2"
"209","HIST1H2AD","FADS2"
"210","TGM2","FADS2"
"211","CYP11B1","ELN"
"212","NRG1","ELN"
"213","FKBP1A","ELN"
"214","APEX2","ELN"
"215","CBFA2T3","ELN"
"216","PSPHP1","ELN"
"217","FOXO4","ELN"
"218","ABTB2","ELN"
"219","STEAP1","ELN"
"220","ENTPD1","ELN"
"221","BAI2","ELN"
"222","PCDH9","ELN"
"223","HIST1H2AD","ELN"
"224","TGM2","ELN"
"225","CYP11B1","DEFB4A"
"226","NRG1","DEFB4A"
"227","FKBP1A","DEFB4A"
"228","APEX2","DEFB4A"
"229","CBFA2T3","DEFB4A"
"230","PSPHP1","DEFB4A"
"231","FOXO4","DEFB4A"
"232","ABTB2","DEFB4A"
"233","STEAP1","DEFB4A"
"234","ENTPD1","DEFB4A"
"235","BAI2","DEFB4A"
"236","PCDH9","DEFB4A"
"237","HIST1H2AD","DEFB4A"
"238","TGM2","DEFB4A"
"239","CYP11B1","EIF2S3"
"240","NRG1","EIF2S3"
"241","FKBP1A","EIF2S3"
"242","APEX2","EIF2S3"
"243","CBFA2T3","EIF2S3"
"244","PSPHP1","EIF2S3"
"245","FOXO4","EIF2S3"
"246","ABTB2","EIF2S3"
"247","STEAP1","EIF2S3"
"248","ENTPD1","EIF2S3"
"249","BAI2","EIF2S3"
"250","PCDH9","EIF2S3"
"251","HIST1H2AD","EIF2S3"
"252","TGM2","EIF2S3"
"253","CYP11B1","ANK3"
"254","NRG1","ANK3"
"255","FKBP1A","ANK3"
"256","APEX2","ANK3"
"257","CBFA2T3","ANK3"
"258","PSPHP1","ANK3"
"259","FOXO4","ANK3"
"260","ABTB2","ANK3"
"261","STEAP1","ANK3"
"262","ENTPD1","ANK3"
"263","BAI2","ANK3"
"264","PCDH9","ANK3"
"265","HIST1H2AD","ANK3"
"266","TGM2","ANK3"
