ProImmune,AntiImmune
IFNA5,PTPN22
ATP7A,PTPN22
IFNW1,PTPN22
SEMA4A,PTPN22
APBB1IP,PTPN22
LY9,PTPN22
IFNA16,PTPN22
PSEN1,PTPN22
IFNA7,PTPN22
IL18R1,PTPN22
FOXP1,PTPN22
PTGER4,PTPN22
IFNK,PTPN22
RC3H2,PTPN22
IFNA14,PTPN22
TSC1,PTPN22
BATF,PTPN22
EIF2AK4,PTPN22
RORC,PTPN22
ICAM1,PTPN22
CD86,PTPN22
STAT6,PTPN22
IFNG,PTPN22
F2RL1,PTPN22
CD1C,PTPN22
ZFPM1,PTPN22
RELB,PTPN22
IFNA1,PTPN22
LEF1,PTPN22
IFNA10,PTPN22
IRF4,PTPN22
FCER1G,PTPN22
ITGAL,PTPN22
BCL3,PTPN22
RORA,PTPN22
EOMES,PTPN22
FADD,PTPN22
IL12A,PTPN22
P2RX7,PTPN22
IL12RB1,PTPN22
PVRL2,PTPN22
IL23R,PTPN22
PVR,PTPN22
HLA-E,PTPN22
HLA-B,PTPN22
NCR3,PTPN22
IL23A,PTPN22
STX7,PTPN22
TMIGD2,PTPN22
EPO,PTPN22
IL2,PTPN22
GPAM,PTPN22
PYCARD,PTPN22
IGF1,PTPN22
HHLA2,PTPN22
TNFSF9,PTPN22
IL2RA,PTPN22
PYDC1,PTPN22
IGF2,PTPN22
IGFBP2,PTPN22
AGER,PTPN22
STAT5B,PTPN22
HSPD1,PTPN22
IL1B,PTPN22
ZBTB1,PTPN22
ZP3,PTPN22
CCR2,PTPN22
SYK,PTPN22
RIPK2,PTPN22
CD83,PTPN22
CD244,PTPN22
NKAP,PTPN22
CD55,PTPN22
AP3D1,PTPN22
CCL19,PTPN22
PRKCQ,PTPN22
RASAL3,PTPN22
NCKAP1L,PTPN22
MYB,PTPN22
PNP,PTPN22
CD80,PTPN22
HSPH1,PTPN22
TGFBR2,PTPN22
ZBTB16,PTPN22
AP3B1,PTPN22
RARA,PTPN22
ITPKB,PTPN22
ADA,PTPN22
CD3E,UBASH3A
IL7,UBASH3A
IL18,UBASH3A
CD276,UBASH3A
IL21,UBASH3A
SART1,UBASH3A
CD47,UBASH3A
NCK2,UBASH3A
SIRPG,UBASH3A
NCK1,UBASH3A
LCK,UBASH3A
ZAP70,UBASH3A
IL12B,UBASH3A
CD24,UBASH3A
EBI3,UBASH3A
ICOSLG,UBASH3A
CD28,UBASH3A
RAB27A,UBASH3A
CLEC4E,UBASH3A
IFNE,UBASH3A
SLC11A1,UBASH3A
IFNA8,UBASH3A
LCP1,UBASH3A
RPS6,UBASH3A
CLEC4D,UBASH3A
IFNA13,UBASH3A
SLAMF6,UBASH3A
IL6,UBASH3A
IFNA6,UBASH3A
IFNA17,UBASH3A
IFNA21,UBASH3A
IFNA4,UBASH3A
IFNA5,UBASH3A
ATP7A,UBASH3A
IFNW1,UBASH3A
SEMA4A,UBASH3A
APBB1IP,UBASH3A
LY9,UBASH3A
IFNA16,UBASH3A
PSEN1,UBASH3A
IFNA7,UBASH3A
IL18R1,UBASH3A
FOXP1,UBASH3A
PTGER4,UBASH3A
IFNK,UBASH3A
RC3H2,UBASH3A
IFNA14,UBASH3A
TSC1,UBASH3A
BATF,UBASH3A
EIF2AK4,UBASH3A
RORC,UBASH3A
ICAM1,UBASH3A
CD86,UBASH3A
STAT6,UBASH3A
IFNG,UBASH3A
F2RL1,UBASH3A
CD1C,UBASH3A
ZFPM1,UBASH3A
RELB,UBASH3A
IFNA1,UBASH3A
LEF1,UBASH3A
IFNA10,UBASH3A
IRF4,UBASH3A
FCER1G,UBASH3A
ITGAL,UBASH3A
BCL3,UBASH3A
RORA,UBASH3A
EOMES,UBASH3A
FADD,UBASH3A
IL12A,UBASH3A
P2RX7,UBASH3A
IL12RB1,UBASH3A
PVRL2,UBASH3A
IL23R,UBASH3A
PVR,UBASH3A
HLA-E,UBASH3A
HLA-B,UBASH3A
NCR3,UBASH3A
IL23A,UBASH3A
STX7,UBASH3A
TMIGD2,UBASH3A
EPO,UBASH3A
IL2,UBASH3A
GPAM,UBASH3A
PYCARD,UBASH3A
IGF1,UBASH3A
HHLA2,UBASH3A
TNFSF9,UBASH3A
IL2RA,UBASH3A
PYDC1,UBASH3A
IGF2,UBASH3A
IGFBP2,UBASH3A
AGER,UBASH3A
STAT5B,UBASH3A
HSPD1,UBASH3A
IL1B,UBASH3A
ZBTB1,UBASH3A
ZP3,UBASH3A
CCR2,UBASH3A
SYK,UBASH3A
RIPK2,UBASH3A
CD83,UBASH3A
CD244,UBASH3A
NKAP,UBASH3A
CD55,UBASH3A
AP3D1,UBASH3A
CCL19,UBASH3A
PRKCQ,UBASH3A
RASAL3,UBASH3A
NCKAP1L,UBASH3A
MYB,UBASH3A
PNP,UBASH3A
CD80,UBASH3A
HSPH1,UBASH3A
TGFBR2,UBASH3A
ZBTB16,UBASH3A
AP3B1,UBASH3A
RARA,UBASH3A
ITPKB,UBASH3A
ADA,UBASH3A
CD3E,PTPN6
IL7,PTPN6
IL18,PTPN6
CD276,PTPN6
IL21,PTPN6
SART1,PTPN6
CD47,PTPN6
NCK2,PTPN6
SIRPG,PTPN6
NCK1,PTPN6
LCK,PTPN6
ZAP70,PTPN6
IL12B,PTPN6
CD24,PTPN6
EBI3,PTPN6
ICOSLG,PTPN6
CD28,PTPN6
RAB27A,PTPN6
CLEC4E,PTPN6
IFNE,PTPN6
SLC11A1,PTPN6
IFNA8,PTPN6
LCP1,PTPN6
RPS6,PTPN6
CLEC4D,PTPN6
IFNA13,PTPN6
SLAMF6,PTPN6
IL6,PTPN6
IFNA6,PTPN6
IFNA17,PTPN6
IFNA21,PTPN6
IFNA4,PTPN6
IFNA5,PTPN6
ATP7A,PTPN6
IFNW1,PTPN6
SEMA4A,PTPN6
APBB1IP,PTPN6
LY9,PTPN6
IFNA16,PTPN6
PSEN1,PTPN6
IFNA7,PTPN6
IL18R1,PTPN6
FOXP1,PTPN6
PTGER4,PTPN6
IFNK,PTPN6
RC3H2,PTPN6
IFNA14,PTPN6
TSC1,PTPN6
BATF,PTPN6
EIF2AK4,PTPN6
RORC,PTPN6
ICAM1,PTPN6
CD86,PTPN6
STAT6,PTPN6
IFNG,PTPN6
F2RL1,PTPN6
CD1C,PTPN6
ZFPM1,PTPN6
RELB,PTPN6
IFNA1,PTPN6
LEF1,PTPN6
IFNA10,PTPN6
IRF4,PTPN6
FCER1G,PTPN6
ITGAL,PTPN6
BCL3,PTPN6
RORA,PTPN6
EOMES,PTPN6
FADD,PTPN6
IL12A,PTPN6
P2RX7,PTPN6
IL12RB1,PTPN6
PVRL2,PTPN6
IL23R,PTPN6
PVR,PTPN6
HLA-E,PTPN6
HLA-B,PTPN6
NCR3,PTPN6
IL23A,PTPN6
STX7,PTPN6
TMIGD2,PTPN6
EPO,PTPN6
IL2,PTPN6
GPAM,PTPN6
PYCARD,PTPN6
IGF1,PTPN6
HHLA2,PTPN6
TNFSF9,PTPN6
IL2RA,PTPN6
PYDC1,PTPN6
IGF2,PTPN6
IGFBP2,PTPN6
AGER,PTPN6
STAT5B,PTPN6
HSPD1,PTPN6
IL1B,PTPN6
ZBTB1,PTPN6
ZP3,PTPN6
CCR2,PTPN6
SYK,PTPN6
RIPK2,PTPN6
CD83,PTPN6
CD244,PTPN6
NKAP,PTPN6
CD55,PTPN6
AP3D1,PTPN6
CCL19,PTPN6
PRKCQ,PTPN6
RASAL3,PTPN6
NCKAP1L,PTPN6
MYB,PTPN6
PNP,PTPN6
CD80,PTPN6
HSPH1,PTPN6
TGFBR2,PTPN6
ZBTB16,PTPN6
AP3B1,PTPN6
RARA,PTPN6
ITPKB,PTPN6
ADA,PTPN6
CD3E,DUSP3
IL7,DUSP3
IL18,DUSP3
CD276,DUSP3
IL21,DUSP3
SART1,DUSP3
CD47,DUSP3
NCK2,DUSP3
SIRPG,DUSP3
NCK1,DUSP3
LCK,DUSP3
ZAP70,DUSP3
IL12B,DUSP3
CD24,DUSP3
EBI3,DUSP3
ICOSLG,DUSP3
CD28,DUSP3
RAB27A,DUSP3
CLEC4E,DUSP3
IFNE,DUSP3
SLC11A1,DUSP3
IFNA8,DUSP3
LCP1,DUSP3
RPS6,DUSP3
CLEC4D,DUSP3
IFNA13,DUSP3
SLAMF6,DUSP3
IL6,DUSP3
IFNA6,DUSP3
IFNA17,DUSP3
IFNA21,DUSP3
IFNA4,DUSP3
IFNA5,DUSP3
ATP7A,DUSP3
IFNW1,DUSP3
SEMA4A,DUSP3
APBB1IP,DUSP3
LY9,DUSP3
IFNA16,DUSP3
PSEN1,DUSP3
IFNA7,DUSP3
IL18R1,DUSP3
FOXP1,DUSP3
PTGER4,DUSP3
IFNK,DUSP3
RC3H2,DUSP3
IFNA14,DUSP3
TSC1,DUSP3
BATF,DUSP3
EIF2AK4,DUSP3
RORC,DUSP3
ICAM1,DUSP3
CD86,DUSP3
STAT6,DUSP3
IFNG,DUSP3
F2RL1,DUSP3
CD1C,DUSP3
ZFPM1,DUSP3
RELB,DUSP3
IFNA1,DUSP3
LEF1,DUSP3
IFNA10,DUSP3
IRF4,DUSP3
FCER1G,DUSP3
ITGAL,DUSP3
BCL3,DUSP3
RORA,DUSP3
EOMES,DUSP3
FADD,DUSP3
IL12A,DUSP3
P2RX7,DUSP3
IL12RB1,DUSP3
PVRL2,DUSP3
IL23R,DUSP3
PVR,DUSP3
HLA-E,DUSP3
HLA-B,DUSP3
NCR3,DUSP3
IL23A,DUSP3
STX7,DUSP3
TMIGD2,DUSP3
EPO,DUSP3
IL2,DUSP3
GPAM,DUSP3
PYCARD,DUSP3
IGF1,DUSP3
HHLA2,DUSP3
TNFSF9,DUSP3
IL2RA,DUSP3
PYDC1,DUSP3
IGF2,DUSP3
IGFBP2,DUSP3
AGER,DUSP3
STAT5B,DUSP3
HSPD1,DUSP3
IL1B,DUSP3
ZBTB1,DUSP3
ZP3,DUSP3
CCR2,DUSP3
SYK,DUSP3
RIPK2,DUSP3
CD83,DUSP3
CD244,DUSP3
NKAP,DUSP3
CD55,DUSP3
AP3D1,DUSP3
CCL19,DUSP3
PRKCQ,DUSP3
RASAL3,DUSP3
NCKAP1L,DUSP3
MYB,DUSP3
PNP,DUSP3
CD80,DUSP3
HSPH1,DUSP3
TGFBR2,DUSP3
ZBTB16,DUSP3
AP3B1,DUSP3
RARA,DUSP3
ITPKB,DUSP3
ADA,DUSP3
CD3E,PRNP
IL7,PRNP
IL18,PRNP
CD276,PRNP
IL21,PRNP
SART1,PRNP
CD47,PRNP
NCK2,PRNP
SIRPG,PRNP
NCK1,PRNP
LCK,PRNP
ZAP70,PRNP
IL12B,PRNP
CD24,PRNP
EBI3,PRNP
ICOSLG,PRNP
CD28,PRNP
RAB27A,PRNP
CLEC4E,PRNP
IFNE,PRNP
SLC11A1,PRNP
IFNA8,PRNP
LCP1,PRNP
RPS6,PRNP
CLEC4D,PRNP
IFNA13,PRNP
SLAMF6,PRNP
IL6,PRNP
IFNA6,PRNP
IFNA17,PRNP
IFNA21,PRNP
IFNA4,PRNP
IFNA5,PRNP
ATP7A,PRNP
IFNW1,PRNP
SEMA4A,PRNP
APBB1IP,PRNP
LY9,PRNP
IFNA16,PRNP
PSEN1,PRNP
IFNA7,PRNP
IL18R1,PRNP
FOXP1,PRNP
PTGER4,PRNP
IFNK,PRNP
RC3H2,PRNP
IFNA14,PRNP
TSC1,PRNP
BATF,PRNP
EIF2AK4,PRNP
RORC,PRNP
ICAM1,PRNP
CD86,PRNP
STAT6,PRNP
IFNG,PRNP
F2RL1,PRNP
CD1C,PRNP
ZFPM1,PRNP
RELB,PRNP
IFNA1,PRNP
LEF1,PRNP
IFNA10,PRNP
IRF4,PRNP
FCER1G,PRNP
ITGAL,PRNP
BCL3,PRNP
RORA,PRNP
EOMES,PRNP
FADD,PRNP
IL12A,PRNP
P2RX7,PRNP
IL12RB1,PRNP
PVRL2,PRNP
IL23R,PRNP
PVR,PRNP
HLA-E,PRNP
HLA-B,PRNP
NCR3,PRNP
IL23A,PRNP
STX7,PRNP
TMIGD2,PRNP
EPO,PRNP
IL2,PRNP
GPAM,PRNP
PYCARD,PRNP
IGF1,PRNP
HHLA2,PRNP
TNFSF9,PRNP
IL2RA,PRNP
PYDC1,PRNP
IGF2,PRNP
IGFBP2,PRNP
AGER,PRNP
STAT5B,PRNP
HSPD1,PRNP
IL1B,PRNP
ZBTB1,PRNP
ZP3,PRNP
CCR2,PRNP
SYK,PRNP
RIPK2,PRNP
CD83,PRNP
CD244,PRNP
NKAP,PRNP
CD55,PRNP
AP3D1,PRNP
CCL19,PRNP
PRKCQ,PRNP
RASAL3,PRNP
NCKAP1L,PRNP
MYB,PRNP
PNP,PRNP
CD80,PRNP
HSPH1,PRNP
TGFBR2,PRNP
ZBTB16,PRNP
AP3B1,PRNP
RARA,PRNP
ITPKB,PRNP
ADA,PRNP
CD3E,EZR
IL7,EZR
IL18,EZR
CD276,EZR
IL21,EZR
SART1,EZR
CD47,EZR
NCK2,EZR
SIRPG,EZR
NCK1,EZR
LCK,EZR
ZAP70,EZR
IL12B,EZR
CD24,EZR
EBI3,EZR
ICOSLG,EZR
CD28,EZR
RAB27A,EZR
CLEC4E,EZR
IFNE,EZR
SLC11A1,EZR
IFNA8,EZR
LCP1,EZR
RPS6,EZR
CLEC4D,EZR
IFNA13,EZR
SLAMF6,EZR
IL6,EZR
IFNA6,EZR
IFNA17,EZR
IFNA21,EZR
IFNA4,EZR
IFNA5,EZR
ATP7A,EZR
IFNW1,EZR
SEMA4A,EZR
APBB1IP,EZR
LY9,EZR
IFNA16,EZR
PSEN1,EZR
IFNA7,EZR
IL18R1,EZR
FOXP1,EZR
PTGER4,EZR
IFNK,EZR
RC3H2,EZR
IFNA14,EZR
TSC1,EZR
BATF,EZR
EIF2AK4,EZR
RORC,EZR
ICAM1,EZR
CD86,EZR
STAT6,EZR
IFNG,EZR
F2RL1,EZR
CD1C,EZR
ZFPM1,EZR
RELB,EZR
IFNA1,EZR
LEF1,EZR
IFNA10,EZR
IRF4,EZR
FCER1G,EZR
ITGAL,EZR
BCL3,EZR
RORA,EZR
EOMES,EZR
FADD,EZR
IL12A,EZR
P2RX7,EZR
IL12RB1,EZR
PVRL2,EZR
IL23R,EZR
PVR,EZR
HLA-E,EZR
HLA-B,EZR
NCR3,EZR
IL23A,EZR
STX7,EZR
TMIGD2,EZR
EPO,EZR
IL2,EZR
GPAM,EZR
PYCARD,EZR
IGF1,EZR
HHLA2,EZR
TNFSF9,EZR
IL2RA,EZR
PYDC1,EZR
IGF2,EZR
IGFBP2,EZR
AGER,EZR
STAT5B,EZR
HSPD1,EZR
IL1B,EZR
ZBTB1,EZR
ZP3,EZR
CCR2,EZR
SYK,EZR
RIPK2,EZR
CD83,EZR
CD244,EZR
NKAP,EZR
CD55,EZR
AP3D1,EZR
CCL19,EZR
PRKCQ,EZR
RASAL3,EZR
NCKAP1L,EZR
MYB,EZR
PNP,EZR
CD80,EZR
HSPH1,EZR
TGFBR2,EZR
ZBTB16,EZR
AP3B1,EZR
RARA,EZR
ITPKB,EZR
ADA,EZR
CD3E,HFE
IL7,HFE
IL18,HFE
CD276,HFE
IL21,HFE
SART1,HFE
CD47,HFE
NCK2,HFE
SIRPG,HFE
NCK1,HFE
LCK,HFE
ZAP70,HFE
IL12B,HFE
CD24,HFE
EBI3,HFE
ICOSLG,HFE
CD28,HFE
RAB27A,HFE
CLEC4E,HFE
IFNE,HFE
SLC11A1,HFE
IFNA8,HFE
LCP1,HFE
RPS6,HFE
CLEC4D,HFE
IFNA13,HFE
SLAMF6,HFE
IL6,HFE
IFNA6,HFE
IFNA17,HFE
IFNA21,HFE
IFNA4,HFE
IFNA5,HFE
ATP7A,HFE
IFNW1,HFE
SEMA4A,HFE
APBB1IP,HFE
LY9,HFE
IFNA16,HFE
PSEN1,HFE
IFNA7,HFE
IL18R1,HFE
FOXP1,HFE
PTGER4,HFE
IFNK,HFE
RC3H2,HFE
IFNA14,HFE
TSC1,HFE
BATF,HFE
EIF2AK4,HFE
RORC,HFE
ICAM1,HFE
CD86,HFE
STAT6,HFE
IFNG,HFE
F2RL1,HFE
CD1C,HFE
ZFPM1,HFE
RELB,HFE
IFNA1,HFE
LEF1,HFE
IFNA10,HFE
IRF4,HFE
FCER1G,HFE
ITGAL,HFE
BCL3,HFE
RORA,HFE
EOMES,HFE
FADD,HFE
IL12A,HFE
P2RX7,HFE
IL12RB1,HFE
PVRL2,HFE
IL23R,HFE
PVR,HFE
HLA-E,HFE
HLA-B,HFE
NCR3,HFE
IL23A,HFE
STX7,HFE
TMIGD2,HFE
EPO,HFE
IL2,HFE
GPAM,HFE
PYCARD,HFE
IGF1,HFE
HHLA2,HFE
TNFSF9,HFE
IL2RA,HFE
PYDC1,HFE
IGF2,HFE
IGFBP2,HFE
AGER,HFE
STAT5B,HFE
HSPD1,HFE
IL1B,HFE
ZBTB1,HFE
ZP3,HFE
CCR2,HFE
SYK,HFE
RIPK2,HFE
CD83,HFE
CD244,HFE
NKAP,HFE
CD55,HFE
AP3D1,HFE
CCL19,HFE
PRKCQ,HFE
RASAL3,HFE
NCKAP1L,HFE
MYB,HFE
PNP,HFE
CD80,HFE
HSPH1,HFE
TGFBR2,HFE
ZBTB16,HFE
AP3B1,HFE
RARA,HFE
ITPKB,HFE
ADA,HFE
CD3E,CLC
IL7,CLC
IL18,CLC
CD276,CLC
IL21,CLC
SART1,CLC
CD47,CLC
NCK2,CLC
SIRPG,CLC
NCK1,CLC
LCK,CLC
ZAP70,CLC
IL12B,CLC
CD24,CLC
EBI3,CLC
ICOSLG,CLC
CD28,CLC
RAB27A,CLC
CLEC4E,CLC
IFNE,CLC
SLC11A1,CLC
IFNA8,CLC
LCP1,CLC
RPS6,CLC
CLEC4D,CLC
IFNA13,CLC
SLAMF6,CLC
IL6,CLC
IFNA6,CLC
IFNA17,CLC
IFNA21,CLC
IFNA4,CLC
IFNA5,CLC
ATP7A,CLC
IFNW1,CLC
SEMA4A,CLC
APBB1IP,CLC
LY9,CLC
IFNA16,CLC
PSEN1,CLC
IFNA7,CLC
IL18R1,CLC
FOXP1,CLC
PTGER4,CLC
IFNK,CLC
RC3H2,CLC
IFNA14,CLC
TSC1,CLC
BATF,CLC
EIF2AK4,CLC
RORC,CLC
ICAM1,CLC
CD86,CLC
STAT6,CLC
IFNG,CLC
F2RL1,CLC
CD1C,CLC
ZFPM1,CLC
RELB,CLC
IFNA1,CLC
LEF1,CLC
IFNA10,CLC
IRF4,CLC
FCER1G,CLC
ITGAL,CLC
BCL3,CLC
RORA,CLC
EOMES,CLC
FADD,CLC
IL12A,CLC
P2RX7,CLC
IL12RB1,CLC
PVRL2,CLC
IL23R,CLC
PVR,CLC
HLA-E,CLC
HLA-B,CLC
NCR3,CLC
IL23A,CLC
STX7,CLC
TMIGD2,CLC
EPO,CLC
IL2,CLC
GPAM,CLC
PYCARD,CLC
IGF1,CLC
HHLA2,CLC
TNFSF9,CLC
IL2RA,CLC
PYDC1,CLC
IGF2,CLC
IGFBP2,CLC
AGER,CLC
STAT5B,CLC
HSPD1,CLC
IL1B,CLC
ZBTB1,CLC
ZP3,CLC
CCR2,CLC
SYK,CLC
RIPK2,CLC
CD83,CLC
CD244,CLC
NKAP,CLC
CD55,CLC
AP3D1,CLC
CCL19,CLC
PRKCQ,CLC
RASAL3,CLC
NCKAP1L,CLC
MYB,CLC
PNP,CLC
CD80,CLC
HSPH1,CLC
TGFBR2,CLC
ZBTB16,CLC
AP3B1,CLC
RARA,CLC
ITPKB,CLC
ADA,CLC
CD3E,TRPM4
IL7,TRPM4
IL18,TRPM4
CD276,TRPM4
IL21,TRPM4
SART1,TRPM4
CD47,TRPM4
NCK2,TRPM4
SIRPG,TRPM4
NCK1,TRPM4
LCK,TRPM4
ZAP70,TRPM4
IL12B,TRPM4
CD24,TRPM4
EBI3,TRPM4
ICOSLG,TRPM4
CD28,TRPM4
RAB27A,TRPM4
CLEC4E,TRPM4
IFNE,TRPM4
SLC11A1,TRPM4
IFNA8,TRPM4
LCP1,TRPM4
RPS6,TRPM4
CLEC4D,TRPM4
IFNA13,TRPM4
SLAMF6,TRPM4
IL6,TRPM4
IFNA6,TRPM4
IFNA17,TRPM4
IFNA21,TRPM4
IFNA4,TRPM4
IFNA5,TRPM4
ATP7A,TRPM4
IFNW1,TRPM4
SEMA4A,TRPM4
APBB1IP,TRPM4
LY9,TRPM4
IFNA16,TRPM4
PSEN1,TRPM4
IFNA7,TRPM4
IL18R1,TRPM4
FOXP1,TRPM4
PTGER4,TRPM4
IFNK,TRPM4
RC3H2,TRPM4
IFNA14,TRPM4
TSC1,TRPM4
BATF,TRPM4
EIF2AK4,TRPM4
RORC,TRPM4
ICAM1,TRPM4
CD86,TRPM4
STAT6,TRPM4
IFNG,TRPM4
F2RL1,TRPM4
CD1C,TRPM4
ZFPM1,TRPM4
RELB,TRPM4
IFNA1,TRPM4
LEF1,TRPM4
IFNA10,TRPM4
IRF4,TRPM4
FCER1G,TRPM4
ITGAL,TRPM4
BCL3,TRPM4
RORA,TRPM4
EOMES,TRPM4
FADD,TRPM4
IL12A,TRPM4
P2RX7,TRPM4
IL12RB1,TRPM4
PVRL2,TRPM4
IL23R,TRPM4
PVR,TRPM4
HLA-E,TRPM4
HLA-B,TRPM4
NCR3,TRPM4
IL23A,TRPM4
STX7,TRPM4
TMIGD2,TRPM4
EPO,TRPM4
IL2,TRPM4
GPAM,TRPM4
PYCARD,TRPM4
IGF1,TRPM4
HHLA2,TRPM4
TNFSF9,TRPM4
IL2RA,TRPM4
PYDC1,TRPM4
IGF2,TRPM4
IGFBP2,TRPM4
AGER,TRPM4
STAT5B,TRPM4
HSPD1,TRPM4
IL1B,TRPM4
ZBTB1,TRPM4
ZP3,TRPM4
CCR2,TRPM4
SYK,TRPM4
RIPK2,TRPM4
CD83,TRPM4
CD244,TRPM4
NKAP,TRPM4
CD55,TRPM4
AP3D1,TRPM4
CCL19,TRPM4
PRKCQ,TRPM4
RASAL3,TRPM4
NCKAP1L,TRPM4
MYB,TRPM4
PNP,TRPM4
CD80,TRPM4
HSPH1,TRPM4
TGFBR2,TRPM4
ZBTB16,TRPM4
AP3B1,TRPM4
RARA,TRPM4
ITPKB,TRPM4
ADA,TRPM4
CD3E,C10orf54
IL7,C10orf54
IL18,C10orf54
CD276,C10orf54
IL21,C10orf54
SART1,C10orf54
CD47,C10orf54
NCK2,C10orf54
SIRPG,C10orf54
NCK1,C10orf54
LCK,C10orf54
ZAP70,C10orf54
IL12B,C10orf54
CD24,C10orf54
EBI3,C10orf54
ICOSLG,C10orf54
CD28,C10orf54
RAB27A,C10orf54
CLEC4E,C10orf54
IFNE,C10orf54
SLC11A1,C10orf54
IFNA8,C10orf54
LCP1,C10orf54
RPS6,C10orf54
CLEC4D,C10orf54
IFNA13,C10orf54
SLAMF6,C10orf54
IL6,C10orf54
IFNA6,C10orf54
IFNA17,C10orf54
IFNA21,C10orf54
IFNA4,C10orf54
IFNA5,C10orf54
ATP7A,C10orf54
IFNW1,C10orf54
SEMA4A,C10orf54
APBB1IP,C10orf54
LY9,C10orf54
IFNA16,C10orf54
PSEN1,C10orf54
IFNA7,C10orf54
IL18R1,C10orf54
FOXP1,C10orf54
PTGER4,C10orf54
IFNK,C10orf54
RC3H2,C10orf54
IFNA14,C10orf54
TSC1,C10orf54
BATF,C10orf54
EIF2AK4,C10orf54
RORC,C10orf54
ICAM1,C10orf54
CD86,C10orf54
STAT6,C10orf54
IFNG,C10orf54
F2RL1,C10orf54
CD1C,C10orf54
ZFPM1,C10orf54
RELB,C10orf54
IFNA1,C10orf54
LEF1,C10orf54
IFNA10,C10orf54
IRF4,C10orf54
FCER1G,C10orf54
ITGAL,C10orf54
BCL3,C10orf54
RORA,C10orf54
EOMES,C10orf54
FADD,C10orf54
IL12A,C10orf54
P2RX7,C10orf54
IL12RB1,C10orf54
PVRL2,C10orf54
IL23R,C10orf54
PVR,C10orf54
HLA-E,C10orf54
HLA-B,C10orf54
NCR3,C10orf54
IL23A,C10orf54
STX7,C10orf54
TMIGD2,C10orf54
EPO,C10orf54
IL2,C10orf54
GPAM,C10orf54
PYCARD,C10orf54
IGF1,C10orf54
HHLA2,C10orf54
TNFSF9,C10orf54
IL2RA,C10orf54
PYDC1,C10orf54
IGF2,C10orf54
IGFBP2,C10orf54
AGER,C10orf54
STAT5B,C10orf54
HSPD1,C10orf54
IL1B,C10orf54
ZBTB1,C10orf54
ZP3,C10orf54
