ProImmune,AntiImmune
CCR2,C10orf54
SYK,C10orf54
RIPK2,C10orf54
CD83,C10orf54
CD244,C10orf54
NKAP,C10orf54
CD55,C10orf54
AP3D1,C10orf54
CCL19,C10orf54
PRKCQ,C10orf54
RASAL3,C10orf54
NCKAP1L,C10orf54
MYB,C10orf54
PNP,C10orf54
CD80,C10orf54
HSPH1,C10orf54
TGFBR2,C10orf54
ZBTB16,C10orf54
AP3B1,C10orf54
RARA,C10orf54
ITPKB,C10orf54
ADA,C10orf54
CD3E,CLEC4G
IL7,CLEC4G
IL18,CLEC4G
CD276,CLEC4G
IL21,CLEC4G
SART1,CLEC4G
CD47,CLEC4G
NCK2,CLEC4G
SIRPG,CLEC4G
NCK1,CLEC4G
LCK,CLEC4G
ZAP70,CLEC4G
IL12B,CLEC4G
CD24,CLEC4G
EBI3,CLEC4G
ICOSLG,CLEC4G
CD28,CLEC4G
RAB27A,CLEC4G
CLEC4E,CLEC4G
IFNE,CLEC4G
SLC11A1,CLEC4G
IFNA8,CLEC4G
LCP1,CLEC4G
RPS6,CLEC4G
CLEC4D,CLEC4G
IFNA13,CLEC4G
SLAMF6,CLEC4G
IL6,CLEC4G
IFNA6,CLEC4G
IFNA17,CLEC4G
IFNA21,CLEC4G
IFNA4,CLEC4G
IFNA5,CLEC4G
ATP7A,CLEC4G
IFNW1,CLEC4G
SEMA4A,CLEC4G
APBB1IP,CLEC4G
LY9,CLEC4G
IFNA16,CLEC4G
PSEN1,CLEC4G
IFNA7,CLEC4G
IL18R1,CLEC4G
FOXP1,CLEC4G
PTGER4,CLEC4G
IFNK,CLEC4G
RC3H2,CLEC4G
IFNA14,CLEC4G
TSC1,CLEC4G
BATF,CLEC4G
EIF2AK4,CLEC4G
RORC,CLEC4G
ICAM1,CLEC4G
CD86,CLEC4G
STAT6,CLEC4G
IFNG,CLEC4G
F2RL1,CLEC4G
CD1C,CLEC4G
ZFPM1,CLEC4G
RELB,CLEC4G
IFNA1,CLEC4G
LEF1,CLEC4G
IFNA10,CLEC4G
IRF4,CLEC4G
FCER1G,CLEC4G
ITGAL,CLEC4G
BCL3,CLEC4G
RORA,CLEC4G
EOMES,CLEC4G
FADD,CLEC4G
IL12A,CLEC4G
P2RX7,CLEC4G
IL12RB1,CLEC4G
PVRL2,CLEC4G
IL23R,CLEC4G
PVR,CLEC4G
HLA-E,CLEC4G
HLA-B,CLEC4G
NCR3,CLEC4G
IL23A,CLEC4G
STX7,CLEC4G
TMIGD2,CLEC4G
EPO,CLEC4G
IL2,CLEC4G
GPAM,CLEC4G
PYCARD,CLEC4G
IGF1,CLEC4G
HHLA2,CLEC4G
TNFSF9,CLEC4G
IL2RA,CLEC4G
PYDC1,CLEC4G
IGF2,CLEC4G
IGFBP2,CLEC4G
AGER,CLEC4G
STAT5B,CLEC4G
HSPD1,CLEC4G
IL1B,CLEC4G
ZBTB1,CLEC4G
ZP3,CLEC4G
CCR2,CLEC4G
SYK,CLEC4G
RIPK2,CLEC4G
CD83,CLEC4G
CD244,CLEC4G
NKAP,CLEC4G
CD55,CLEC4G
AP3D1,CLEC4G
CCL19,CLEC4G
PRKCQ,CLEC4G
RASAL3,CLEC4G
NCKAP1L,CLEC4G
MYB,CLEC4G
PNP,CLEC4G
CD80,CLEC4G
HSPH1,CLEC4G
TGFBR2,CLEC4G
ZBTB16,CLEC4G
AP3B1,CLEC4G
RARA,CLEC4G
ITPKB,CLEC4G
ADA,CLEC4G
CD3E,SPN
IL7,SPN
IL18,SPN
CD276,SPN
IL21,SPN
SART1,SPN
CD47,SPN
NCK2,SPN
SIRPG,SPN
NCK1,SPN
LCK,SPN
ZAP70,SPN
IL12B,SPN
CD24,SPN
EBI3,SPN
ICOSLG,SPN
CD28,SPN
RAB27A,SPN
CLEC4E,SPN
IFNE,SPN
SLC11A1,SPN
IFNA8,SPN
LCP1,SPN
RPS6,SPN
CLEC4D,SPN
IFNA13,SPN
SLAMF6,SPN
IL6,SPN
IFNA6,SPN
IFNA17,SPN
IFNA21,SPN
IFNA4,SPN
IFNA5,SPN
ATP7A,SPN
IFNW1,SPN
SEMA4A,SPN
APBB1IP,SPN
LY9,SPN
IFNA16,SPN
PSEN1,SPN
IFNA7,SPN
IL18R1,SPN
FOXP1,SPN
PTGER4,SPN
IFNK,SPN
RC3H2,SPN
IFNA14,SPN
TSC1,SPN
BATF,SPN
EIF2AK4,SPN
RORC,SPN
ICAM1,SPN
CD86,SPN
STAT6,SPN
IFNG,SPN
F2RL1,SPN
CD1C,SPN
ZFPM1,SPN
RELB,SPN
IFNA1,SPN
LEF1,SPN
IFNA10,SPN
IRF4,SPN
FCER1G,SPN
ITGAL,SPN
BCL3,SPN
RORA,SPN
EOMES,SPN
FADD,SPN
IL12A,SPN
P2RX7,SPN
IL12RB1,SPN
PVRL2,SPN
IL23R,SPN
PVR,SPN
HLA-E,SPN
HLA-B,SPN
NCR3,SPN
IL23A,SPN
STX7,SPN
TMIGD2,SPN
EPO,SPN
IL2,SPN
GPAM,SPN
PYCARD,SPN
IGF1,SPN
HHLA2,SPN
TNFSF9,SPN
IL2RA,SPN
PYDC1,SPN
IGF2,SPN
IGFBP2,SPN
AGER,SPN
STAT5B,SPN
HSPD1,SPN
IL1B,SPN
ZBTB1,SPN
ZP3,SPN
CCR2,SPN
SYK,SPN
RIPK2,SPN
CD83,SPN
CD244,SPN
NKAP,SPN
CD55,SPN
AP3D1,SPN
CCL19,SPN
PRKCQ,SPN
RASAL3,SPN
NCKAP1L,SPN
MYB,SPN
PNP,SPN
CD80,SPN
HSPH1,SPN
TGFBR2,SPN
ZBTB16,SPN
AP3B1,SPN
RARA,SPN
ITPKB,SPN
ADA,SPN
CD3E,IL7R
IL7,IL7R
IL18,IL7R
CD276,IL7R
IL21,IL7R
SART1,IL7R
CD47,IL7R
NCK2,IL7R
SIRPG,IL7R
NCK1,IL7R
LCK,IL7R
ZAP70,IL7R
IL12B,IL7R
CD24,IL7R
EBI3,IL7R
ICOSLG,IL7R
CD28,IL7R
RAB27A,IL7R
CLEC4E,IL7R
IFNE,IL7R
SLC11A1,IL7R
IFNA8,IL7R
LCP1,IL7R
RPS6,IL7R
CLEC4D,IL7R
IFNA13,IL7R
SLAMF6,IL7R
IL6,IL7R
IFNA6,IL7R
IFNA17,IL7R
IFNA21,IL7R
IFNA4,IL7R
IFNA5,IL7R
ATP7A,IL7R
IFNW1,IL7R
SEMA4A,IL7R
APBB1IP,IL7R
LY9,IL7R
IFNA16,IL7R
PSEN1,IL7R
IFNA7,IL7R
IL18R1,IL7R
FOXP1,IL7R
PTGER4,IL7R
IFNK,IL7R
RC3H2,IL7R
IFNA14,IL7R
TSC1,IL7R
BATF,IL7R
EIF2AK4,IL7R
RORC,IL7R
ICAM1,IL7R
CD86,IL7R
STAT6,IL7R
IFNG,IL7R
F2RL1,IL7R
CD1C,IL7R
ZFPM1,IL7R
RELB,IL7R
IFNA1,IL7R
LEF1,IL7R
IFNA10,IL7R
IRF4,IL7R
FCER1G,IL7R
ITGAL,IL7R
BCL3,IL7R
RORA,IL7R
EOMES,IL7R
FADD,IL7R
IL12A,IL7R
P2RX7,IL7R
IL12RB1,IL7R
PVRL2,IL7R
IL23R,IL7R
PVR,IL7R
HLA-E,IL7R
HLA-B,IL7R
NCR3,IL7R
IL23A,IL7R
STX7,IL7R
TMIGD2,IL7R
EPO,IL7R
IL2,IL7R
GPAM,IL7R
PYCARD,IL7R
IGF1,IL7R
HHLA2,IL7R
TNFSF9,IL7R
IL2RA,IL7R
PYDC1,IL7R
IGF2,IL7R
IGFBP2,IL7R
AGER,IL7R
STAT5B,IL7R
HSPD1,IL7R
IL1B,IL7R
ZBTB1,IL7R
ZP3,IL7R
CCR2,IL7R
SYK,IL7R
RIPK2,IL7R
CD83,IL7R
CD244,IL7R
NKAP,IL7R
CD55,IL7R
AP3D1,IL7R
CCL19,IL7R
PRKCQ,IL7R
RASAL3,IL7R
NCKAP1L,IL7R
MYB,IL7R
PNP,IL7R
CD80,IL7R
HSPH1,IL7R
TGFBR2,IL7R
ZBTB16,IL7R
AP3B1,IL7R
RARA,IL7R
ITPKB,IL7R
ADA,IL7R
CD3E,PPP3CB
IL7,PPP3CB
IL18,PPP3CB
CD276,PPP3CB
IL21,PPP3CB
SART1,PPP3CB
CD47,PPP3CB
NCK2,PPP3CB
SIRPG,PPP3CB
NCK1,PPP3CB
LCK,PPP3CB
ZAP70,PPP3CB
IL12B,PPP3CB
CD24,PPP3CB
EBI3,PPP3CB
ICOSLG,PPP3CB
CD28,PPP3CB
RAB27A,PPP3CB
CLEC4E,PPP3CB
IFNE,PPP3CB
SLC11A1,PPP3CB
IFNA8,PPP3CB
LCP1,PPP3CB
RPS6,PPP3CB
CLEC4D,PPP3CB
IFNA13,PPP3CB
SLAMF6,PPP3CB
IL6,PPP3CB
IFNA6,PPP3CB
IFNA17,PPP3CB
IFNA21,PPP3CB
IFNA4,PPP3CB
IFNA5,PPP3CB
ATP7A,PPP3CB
IFNW1,PPP3CB
SEMA4A,PPP3CB
APBB1IP,PPP3CB
LY9,PPP3CB
IFNA16,PPP3CB
PSEN1,PPP3CB
IFNA7,PPP3CB
IL18R1,PPP3CB
FOXP1,PPP3CB
PTGER4,PPP3CB
IFNK,PPP3CB
RC3H2,PPP3CB
IFNA14,PPP3CB
TSC1,PPP3CB
BATF,PPP3CB
EIF2AK4,PPP3CB
RORC,PPP3CB
ICAM1,PPP3CB
CD86,PPP3CB
STAT6,PPP3CB
IFNG,PPP3CB
F2RL1,PPP3CB
CD1C,PPP3CB
ZFPM1,PPP3CB
RELB,PPP3CB
IFNA1,PPP3CB
LEF1,PPP3CB
IFNA10,PPP3CB
IRF4,PPP3CB
FCER1G,PPP3CB
ITGAL,PPP3CB
BCL3,PPP3CB
RORA,PPP3CB
EOMES,PPP3CB
FADD,PPP3CB
IL12A,PPP3CB
P2RX7,PPP3CB
IL12RB1,PPP3CB
PVRL2,PPP3CB
IL23R,PPP3CB
PVR,PPP3CB
HLA-E,PPP3CB
HLA-B,PPP3CB
NCR3,PPP3CB
IL23A,PPP3CB
STX7,PPP3CB
TMIGD2,PPP3CB
EPO,PPP3CB
IL2,PPP3CB
GPAM,PPP3CB
PYCARD,PPP3CB
IGF1,PPP3CB
HHLA2,PPP3CB
TNFSF9,PPP3CB
IL2RA,PPP3CB
PYDC1,PPP3CB
IGF2,PPP3CB
IGFBP2,PPP3CB
AGER,PPP3CB
STAT5B,PPP3CB
HSPD1,PPP3CB
IL1B,PPP3CB
ZBTB1,PPP3CB
ZP3,PPP3CB
CCR2,PPP3CB
SYK,PPP3CB
RIPK2,PPP3CB
CD83,PPP3CB
CD244,PPP3CB
NKAP,PPP3CB
CD55,PPP3CB
AP3D1,PPP3CB
CCL19,PPP3CB
PRKCQ,PPP3CB
RASAL3,PPP3CB
NCKAP1L,PPP3CB
MYB,PPP3CB
PNP,PPP3CB
CD80,PPP3CB
HSPH1,PPP3CB
TGFBR2,PPP3CB
ZBTB16,PPP3CB
AP3B1,PPP3CB
RARA,PPP3CB
ITPKB,PPP3CB
ADA,PPP3CB
CD3E,IL20RB
IL7,IL20RB
IL18,IL20RB
CD276,IL20RB
IL21,IL20RB
SART1,IL20RB
CD47,IL20RB
NCK2,IL20RB
SIRPG,IL20RB
NCK1,IL20RB
LCK,IL20RB
ZAP70,IL20RB
IL12B,IL20RB
CD24,IL20RB
EBI3,IL20RB
ICOSLG,IL20RB
CD28,IL20RB
RAB27A,IL20RB
CLEC4E,IL20RB
IFNE,IL20RB
SLC11A1,IL20RB
IFNA8,IL20RB
LCP1,IL20RB
RPS6,IL20RB
CLEC4D,IL20RB
IFNA13,IL20RB
SLAMF6,IL20RB
IL6,IL20RB
IFNA6,IL20RB
IFNA17,IL20RB
IFNA21,IL20RB
IFNA4,IL20RB
IFNA5,IL20RB
ATP7A,IL20RB
IFNW1,IL20RB
SEMA4A,IL20RB
APBB1IP,IL20RB
LY9,IL20RB
IFNA16,IL20RB
PSEN1,IL20RB
IFNA7,IL20RB
IL18R1,IL20RB
FOXP1,IL20RB
PTGER4,IL20RB
IFNK,IL20RB
RC3H2,IL20RB
IFNA14,IL20RB
TSC1,IL20RB
BATF,IL20RB
EIF2AK4,IL20RB
RORC,IL20RB
ICAM1,IL20RB
CD86,IL20RB
STAT6,IL20RB
IFNG,IL20RB
F2RL1,IL20RB
CD1C,IL20RB
ZFPM1,IL20RB
RELB,IL20RB
IFNA1,IL20RB
LEF1,IL20RB
IFNA10,IL20RB
IRF4,IL20RB
FCER1G,IL20RB
ITGAL,IL20RB
BCL3,IL20RB
RORA,IL20RB
EOMES,IL20RB
FADD,IL20RB
IL12A,IL20RB
P2RX7,IL20RB
IL12RB1,IL20RB
PVRL2,IL20RB
IL23R,IL20RB
PVR,IL20RB
HLA-E,IL20RB
HLA-B,IL20RB
NCR3,IL20RB
IL23A,IL20RB
STX7,IL20RB
TMIGD2,IL20RB
EPO,IL20RB
IL2,IL20RB
GPAM,IL20RB
PYCARD,IL20RB
IGF1,IL20RB
HHLA2,IL20RB
TNFSF9,IL20RB
IL2RA,IL20RB
PYDC1,IL20RB
IGF2,IL20RB
IGFBP2,IL20RB
AGER,IL20RB
STAT5B,IL20RB
HSPD1,IL20RB
IL1B,IL20RB
ZBTB1,IL20RB
ZP3,IL20RB
CCR2,IL20RB
SYK,IL20RB
RIPK2,IL20RB
CD83,IL20RB
CD244,IL20RB
NKAP,IL20RB
CD55,IL20RB
AP3D1,IL20RB
CCL19,IL20RB
PRKCQ,IL20RB
RASAL3,IL20RB
NCKAP1L,IL20RB
MYB,IL20RB
PNP,IL20RB
CD80,IL20RB
HSPH1,IL20RB
TGFBR2,IL20RB
ZBTB16,IL20RB
AP3B1,IL20RB
RARA,IL20RB
ITPKB,IL20RB
ADA,IL20RB
CD3E,TNFRSF14
IL7,TNFRSF14
IL18,TNFRSF14
CD276,TNFRSF14
IL21,TNFRSF14
SART1,TNFRSF14
CD47,TNFRSF14
NCK2,TNFRSF14
SIRPG,TNFRSF14
NCK1,TNFRSF14
LCK,TNFRSF14
ZAP70,TNFRSF14
IL12B,TNFRSF14
CD24,TNFRSF14
EBI3,TNFRSF14
ICOSLG,TNFRSF14
CD28,TNFRSF14
RAB27A,TNFRSF14
CLEC4E,TNFRSF14
IFNE,TNFRSF14
SLC11A1,TNFRSF14
IFNA8,TNFRSF14
LCP1,TNFRSF14
RPS6,TNFRSF14
CLEC4D,TNFRSF14
IFNA13,TNFRSF14
SLAMF6,TNFRSF14
IL6,TNFRSF14
IFNA6,TNFRSF14
IFNA17,TNFRSF14
IFNA21,TNFRSF14
IFNA4,TNFRSF14
IFNA5,TNFRSF14
ATP7A,TNFRSF14
IFNW1,TNFRSF14
SEMA4A,TNFRSF14
APBB1IP,TNFRSF14
LY9,TNFRSF14
IFNA16,TNFRSF14
PSEN1,TNFRSF14
IFNA7,TNFRSF14
IL18R1,TNFRSF14
FOXP1,TNFRSF14
PTGER4,TNFRSF14
IFNK,TNFRSF14
RC3H2,TNFRSF14
IFNA14,TNFRSF14
TSC1,TNFRSF14
BATF,TNFRSF14
EIF2AK4,TNFRSF14
RORC,TNFRSF14
ICAM1,TNFRSF14
CD86,TNFRSF14
STAT6,TNFRSF14
IFNG,TNFRSF14
F2RL1,TNFRSF14
CD1C,TNFRSF14
ZFPM1,TNFRSF14
RELB,TNFRSF14
IFNA1,TNFRSF14
LEF1,TNFRSF14
IFNA10,TNFRSF14
IRF4,TNFRSF14
FCER1G,TNFRSF14
ITGAL,TNFRSF14
BCL3,TNFRSF14
RORA,TNFRSF14
EOMES,TNFRSF14
FADD,TNFRSF14
IL12A,TNFRSF14
P2RX7,TNFRSF14
IL12RB1,TNFRSF14
PVRL2,TNFRSF14
IL23R,TNFRSF14
PVR,TNFRSF14
HLA-E,TNFRSF14
HLA-B,TNFRSF14
NCR3,TNFRSF14
IL23A,TNFRSF14
STX7,TNFRSF14
TMIGD2,TNFRSF14
EPO,TNFRSF14
IL2,TNFRSF14
GPAM,TNFRSF14
PYCARD,TNFRSF14
IGF1,TNFRSF14
HHLA2,TNFRSF14
TNFSF9,TNFRSF14
IL2RA,TNFRSF14
PYDC1,TNFRSF14
IGF2,TNFRSF14
IGFBP2,TNFRSF14
AGER,TNFRSF14
STAT5B,TNFRSF14
HSPD1,TNFRSF14
IL1B,TNFRSF14
ZBTB1,TNFRSF14
ZP3,TNFRSF14
CCR2,TNFRSF14
SYK,TNFRSF14
RIPK2,TNFRSF14
CD83,TNFRSF14
CD244,TNFRSF14
NKAP,TNFRSF14
CD55,TNFRSF14
AP3D1,TNFRSF14
CCL19,TNFRSF14
PRKCQ,TNFRSF14
RASAL3,TNFRSF14
NCKAP1L,TNFRSF14
MYB,TNFRSF14
PNP,TNFRSF14
CD80,TNFRSF14
HSPH1,TNFRSF14
TGFBR2,TNFRSF14
ZBTB16,TNFRSF14
AP3B1,TNFRSF14
RARA,TNFRSF14
ITPKB,TNFRSF14
ADA,TNFRSF14
CD3E,BCL6
IL7,BCL6
IL18,BCL6
CD276,BCL6
IL21,BCL6
SART1,BCL6
CD47,BCL6
NCK2,BCL6
SIRPG,BCL6
NCK1,BCL6
LCK,BCL6
ZAP70,BCL6
IL12B,BCL6
CD24,BCL6
EBI3,BCL6
ICOSLG,BCL6
CD28,BCL6
RAB27A,BCL6
CLEC4E,BCL6
IFNE,BCL6
SLC11A1,BCL6
IFNA8,BCL6
LCP1,BCL6
RPS6,BCL6
CLEC4D,BCL6
IFNA13,BCL6
SLAMF6,BCL6
IL6,BCL6
IFNA6,BCL6
IFNA17,BCL6
IFNA21,BCL6
IFNA4,BCL6
IFNA5,BCL6
ATP7A,BCL6
IFNW1,BCL6
SEMA4A,BCL6
APBB1IP,BCL6
LY9,BCL6
IFNA16,BCL6
PSEN1,BCL6
IFNA7,BCL6
IL18R1,BCL6
FOXP1,BCL6
PTGER4,BCL6
IFNK,BCL6
RC3H2,BCL6
IFNA14,BCL6
TSC1,BCL6
BATF,BCL6
EIF2AK4,BCL6
RORC,BCL6
ICAM1,BCL6
CD86,BCL6
STAT6,BCL6
IFNG,BCL6
F2RL1,BCL6
CD1C,BCL6
ZFPM1,BCL6
RELB,BCL6
IFNA1,BCL6
LEF1,BCL6
IFNA10,BCL6
IRF4,BCL6
FCER1G,BCL6
ITGAL,BCL6
BCL3,BCL6
RORA,BCL6
EOMES,BCL6
FADD,BCL6
IL12A,BCL6
P2RX7,BCL6
IL12RB1,BCL6
PVRL2,BCL6
IL23R,BCL6
PVR,BCL6
HLA-E,BCL6
HLA-B,BCL6
NCR3,BCL6
IL23A,BCL6
STX7,BCL6
TMIGD2,BCL6
EPO,BCL6
IL2,BCL6
GPAM,BCL6
PYCARD,BCL6
IGF1,BCL6
HHLA2,BCL6
TNFSF9,BCL6
IL2RA,BCL6
PYDC1,BCL6
IGF2,BCL6
IGFBP2,BCL6
AGER,BCL6
STAT5B,BCL6
HSPD1,BCL6
IL1B,BCL6
ZBTB1,BCL6
ZP3,BCL6
CCR2,BCL6
SYK,BCL6
RIPK2,BCL6
CD83,BCL6
CD244,BCL6
NKAP,BCL6
CD55,BCL6
AP3D1,BCL6
CCL19,BCL6
PRKCQ,BCL6
RASAL3,BCL6
NCKAP1L,BCL6
MYB,BCL6
PNP,BCL6
CD80,BCL6
HSPH1,BCL6
TGFBR2,BCL6
ZBTB16,BCL6
AP3B1,BCL6
RARA,BCL6
ITPKB,BCL6
ADA,BCL6
CD3E,CD300A
IL7,CD300A
IL18,CD300A
CD276,CD300A
IL21,CD300A
SART1,CD300A
CD47,CD300A
NCK2,CD300A
SIRPG,CD300A
NCK1,CD300A
LCK,CD300A
ZAP70,CD300A
IL12B,CD300A
CD24,CD300A
EBI3,CD300A
ICOSLG,CD300A
CD28,CD300A
RAB27A,CD300A
CLEC4E,CD300A
IFNE,CD300A
SLC11A1,CD300A
IFNA8,CD300A
LCP1,CD300A
RPS6,CD300A
CLEC4D,CD300A
IFNA13,CD300A
SLAMF6,CD300A
IL6,CD300A
IFNA6,CD300A
IFNA17,CD300A
IFNA21,CD300A
IFNA4,CD300A
IFNA5,CD300A
ATP7A,CD300A
IFNW1,CD300A
SEMA4A,CD300A
APBB1IP,CD300A
LY9,CD300A
IFNA16,CD300A
PSEN1,CD300A
IFNA7,CD300A
IL18R1,CD300A
FOXP1,CD300A
PTGER4,CD300A
IFNK,CD300A
RC3H2,CD300A
IFNA14,CD300A
TSC1,CD300A
BATF,CD300A
EIF2AK4,CD300A
RORC,CD300A
ICAM1,CD300A
CD86,CD300A
STAT6,CD300A
IFNG,CD300A
F2RL1,CD300A
CD1C,CD300A
ZFPM1,CD300A
RELB,CD300A
IFNA1,CD300A
LEF1,CD300A
IFNA10,CD300A
IRF4,CD300A
FCER1G,CD300A
ITGAL,CD300A
BCL3,CD300A
RORA,CD300A
EOMES,CD300A
FADD,CD300A
IL12A,CD300A
P2RX7,CD300A
IL12RB1,CD300A
PVRL2,CD300A
IL23R,CD300A
PVR,CD300A
HLA-E,CD300A
HLA-B,CD300A
NCR3,CD300A
IL23A,CD300A
STX7,CD300A
TMIGD2,CD300A
EPO,CD300A
IL2,CD300A
GPAM,CD300A
PYCARD,CD300A
IGF1,CD300A
HHLA2,CD300A
TNFSF9,CD300A
IL2RA,CD300A
PYDC1,CD300A
IGF2,CD300A
IGFBP2,CD300A
AGER,CD300A
STAT5B,CD300A
HSPD1,CD300A
IL1B,CD300A
ZBTB1,CD300A
ZP3,CD300A
CCR2,CD300A
SYK,CD300A
RIPK2,CD300A
CD83,CD300A
CD244,CD300A
NKAP,CD300A
CD55,CD300A
AP3D1,CD300A
CCL19,CD300A
PRKCQ,CD300A
RASAL3,CD300A
NCKAP1L,CD300A
MYB,CD300A
PNP,CD300A
CD80,CD300A
HSPH1,CD300A
TGFBR2,CD300A
ZBTB16,CD300A
AP3B1,CD300A
RARA,CD300A
ITPKB,CD300A
ADA,CD300A
CD3E,ITCH
IL7,ITCH
IL18,ITCH
CD276,ITCH
IL21,ITCH
SART1,ITCH
CD47,ITCH
NCK2,ITCH
SIRPG,ITCH
NCK1,ITCH
LCK,ITCH
ZAP70,ITCH
IL12B,ITCH
CD24,ITCH
EBI3,ITCH
ICOSLG,ITCH
CD28,ITCH
RAB27A,ITCH
CLEC4E,ITCH
IFNE,ITCH
SLC11A1,ITCH
IFNA8,ITCH
LCP1,ITCH
RPS6,ITCH
CLEC4D,ITCH
IFNA13,ITCH
SLAMF6,ITCH
IL6,ITCH
IFNA6,ITCH
IFNA17,ITCH
IFNA21,ITCH
IFNA4,ITCH
IFNA5,ITCH
ATP7A,ITCH
IFNW1,ITCH
SEMA4A,ITCH
APBB1IP,ITCH
LY9,ITCH
IFNA16,ITCH
PSEN1,ITCH
IFNA7,ITCH
IL18R1,ITCH
FOXP1,ITCH
PTGER4,ITCH
IFNK,ITCH
RC3H2,ITCH
IFNA14,ITCH
TSC1,ITCH
BATF,ITCH
EIF2AK4,ITCH
RORC,ITCH
ICAM1,ITCH
CD86,ITCH
STAT6,ITCH
IFNG,ITCH
F2RL1,ITCH
CD1C,ITCH
ZFPM1,ITCH
RELB,ITCH
IFNA1,ITCH
LEF1,ITCH
IFNA10,ITCH
IRF4,ITCH
FCER1G,ITCH
ITGAL,ITCH
BCL3,ITCH
RORA,ITCH
EOMES,ITCH
FADD,ITCH
IL12A,ITCH
P2RX7,ITCH
IL12RB1,ITCH
PVRL2,ITCH
IL23R,ITCH
PVR,ITCH
HLA-E,ITCH
HLA-B,ITCH
NCR3,ITCH
IL23A,ITCH
STX7,ITCH
TMIGD2,ITCH
EPO,ITCH
IL2,ITCH
GPAM,ITCH
PYCARD,ITCH
IGF1,ITCH
HHLA2,ITCH
TNFSF9,ITCH
IL2RA,ITCH
PYDC1,ITCH
IGF2,ITCH
IGFBP2,ITCH
AGER,ITCH
STAT5B,ITCH
HSPD1,ITCH
IL1B,ITCH
ZBTB1,ITCH
ZP3,ITCH
CCR2,ITCH
SYK,ITCH
RIPK2,ITCH
CD83,ITCH
CD244,ITCH
NKAP,ITCH
CD55,ITCH
AP3D1,ITCH
CCL19,ITCH
PRKCQ,ITCH
RASAL3,ITCH
NCKAP1L,ITCH
MYB,ITCH
PNP,ITCH
CD80,ITCH
HSPH1,ITCH
TGFBR2,ITCH
ZBTB16,ITCH
AP3B1,ITCH
RARA,ITCH
ITPKB,ITCH
ADA,ITCH
